KIC,Evol_State,Mass,S_Mass,Radius,S_Radius,Logg_Seis,S_Logg_Seis,Teff,S_Teff,[Fe/H],S_[Fe/H],[Alp/Fe],S_[Alp/Fe],[C/Fe],S_[C/Fe],[N/Fe],S_[N/Fe],[C/N],S_[C/N]
5168713,RGB,1.0365,0.0399,9.1726,0.1589,2.5298,0.0039,4708.127,44.8479,-0.3704,0.058,0.1155,0.022,0.0074,0.044206536861784836,0.1134,0.04744138608024579,-0.106,0.06783494706240976
5171912,RGB,1.0443,0.0437,7.3042,0.1366,2.7315,0.0041,4621.1694,41.9266,0.1013,0.058,0.0213,0.022,-0.0308,0.029370096408172116,0.1496,0.03334451707354418,-0.1804,0.046472511848182955
5172229,RGB,1.2802,0.0493,10.4144,0.1805,2.511,0.0039,4676.292,44.1183,-0.3506,0.058,0.0422,0.022,0.2057,0.04269261436651823,0.4094,0.04581482427178021,-0.2037,0.0655104194271775
5172478,RC,1.5468,0.0635,11.2541,0.2087,2.5276,0.0043,4877.6,50.7889,-0.1521,0.058,0.0203,0.022,-0.1147,0.049656657844744614,0.2082,0.053134352409875275,-0.32289999999999996,0.076079533250977
5175172,RGB,1.4207,0.0593,11.2786,0.2106,2.4866,0.0043,4755.05,45.8279,-0.4458,0.058,0.0687,0.022,0.1593,0.04814273534947801,0.1837,0.05123669696666545,-0.024400000000000005,0.07354916366352061
5175464,RC,1.1149,0.0459,11.4679,0.2129,2.369,0.0048,4766.8896,60.717,-0.1356,0.058,0.0779,0.022,0.0554,0.07175992627563703,0.1038,0.07292418774620638,-0.048400000000000006,0.1070384166325651
5175621,RGB,1.1715,0.0446,8.8481,0.1517,2.6148,0.0038,4655.257,43.0307,-0.0751,0.058,0.0395,0.022,0.0097,0.033911863893971925,0.2224,0.03795310886419663,-0.2127,0.053234322895823215
5176520,RGB,1.08,0.0414,4.8832,0.0844,3.0958,0.0047,4881.8555,62.0004,-0.3063,0.058,0.0905,0.022,-0.0538,0.08266016824155657,0.1296,0.08214137132751127,-0.1834,0.1219186768369268
5176709,RGB,1.3353,0.0513,6.8602,0.1187,2.8927,0.0045,4809.6455,57.2675,-0.1257,0.058,0.0362,0.022,-0.1104,0.0626763913040374,0.3115,0.06506247233862279,-0.4219,0.0945132961682998
5177023,RC,1.1862,0.0488,10.6942,0.1985,2.4566,0.004,4797.6475,45.2545,-0.1079,0.058,0.0325,0.022,-0.0478,0.037848062381665104,0.1884,0.04201951338536055,-0.23620000000000002,0.05915168869483322
5177610,RC,1.1929,0.0492,11.4277,0.2125,2.4015,0.0041,4635.791,44.6127,0.0605,0.058,0.0142,0.022,0.0186,0.034214648393025245,0.2467,0.03822420249894089,-0.2281,0.053657244867579446
5179162,RC,0.9864,0.0406,10.3813,0.1928,2.4024,0.0044,4767.813,53.3126,-0.1484,0.058,0.0534,0.022,0.0169,0.05995133081255752,0.0942,0.06235153599118017,-0.07730000000000001,0.09049258684537757
5179251,RC,1.2842,0.053,11.6952,0.2176,2.4134,0.0039,4588.6963,41.1437,0.1746,0.058,0.0017,0.022,-0.0047,0.027553389413852193,0.2768,0.031175767995590086,-0.2815,0.04351542648310757
5179253,RC,1.1831,0.049,12.0122,0.2238,2.3546,0.004,4500.2446,41.5424,0.299,0.058,0.0468,0.022,0.0689,0.02997566540627876,0.2248,0.03334451707354418,-0.15589999999999998,0.04689831115136768
5180026,RGB,1.4505,0.0556,18.8764,0.3247,2.0361,0.0038,4430.3394,40.2472,-0.1273,0.058,0.0178,0.022,-0.08,0.031792372400598685,0.2683,0.03524217251675401,-0.3483,0.04964563435505858
5181566,RC,1.2139,0.0501,11.3195,0.2105,2.4173,0.0041,4628.3413,44.2466,0.119,0.058,0.0215,0.022,0.0031,0.033003510396811965,0.2717,0.03686873432521958,-0.2686,0.05175601968221241
5181782,RC,1.3097,0.0509,11.3377,0.2006,2.4489,0.0044,4672.985,56.2677,0.0426,0.058,0.0132,0.022,0.0229,0.05662070132297099,0.2413,0.059369506008993295,-0.21839999999999998,0.08582807623666981
5182688,RC,1.0516,0.0432,10.9146,0.2024,2.3866,0.0041,4873.7593,47.771,-0.386,0.058,0.0852,0.022,-0.0186,0.049656657844744614,0.1785,0.053134352409875275,-0.1971,0.076079533250977
5183325,RGB,1.152,0.0444,8.0103,0.1389,2.694,0.0038,4625.174,42.1555,0.035,0.058,0.0519,0.022,0.0272,0.030884018903438722,0.2386,0.03469998524726549,-0.2114,0.04858613778683694
5183722,RGB,1.414,0.0565,32.2395,0.5786,1.5456,0.0039,4120.659,39.8354,-0.0667,0.058,0.0279,0.022,0.0461,0.03482021739113189,0.2068,0.03686873432521958,-0.1607,0.053052523390288285
5183828,RC,1.3093,0.0538,11.1656,0.2073,2.4621,0.0043,4787.796,51.6026,-0.0343,0.058,0.0391,0.022,-0.0651,0.04844551984853133,0.2078,0.052049977870898226,-0.27290000000000003,0.07438489466993183
5183935,RC,1.6984,0.0656,11.008,0.1941,2.5874,0.0038,4940.0396,48.0327,-0.1951,0.058,0.034,0.022,-0.1259,0.044509321360838155,0.2325,0.04879685425396709,-0.35840000000000005,0.06908703152146865
5185820,RC,0.9837,0.0404,10.6224,0.1971,2.3812,0.0041,4846.822,47.1597,-0.2954,0.058,0.0652,0.022,-0.0478,0.045417674857998115,0.152,0.049067947888711355,-0.1998,0.06994245176911443
