KIC,Mass,S_Mass,Radius,S_Radius,Logg_Seis,S_Logg_Seis,Teff,S_Teff,[Fe/H],S_[Fe/H],[Alp/Fe],S_[Alp/Fe],[C/Fe],S_[C/Fe],[N/Fe],S_[N/Fe],[C/N],S_[C/N]
4284170,1.1902,0.0498,8.1138,0.1517,2.697,0.0048,4643.763,55.422,0.1202,0.058,0.0237,0.022,-0.0182,0.044509321360838155,0.2427,0.047983573349734306,-0.2609,0.06846503849838574
4284281,1.7658,0.0681,11.6372,0.2017,2.5547,0.0038,4656.3794,42.4921,0.0867,0.058,-0.0105,0.022,-0.1149,0.03027844990533208,0.3366,0.03415779797777697,-0.4515,0.04774056178584922
4346339,1.522,0.0632,5.0618,0.0942,3.2136,0.0044,5015.0244,52.9453,-0.0945,0.058,0.0403,0.022,-0.0656,0.05056501134190457,0.2258,0.054760914218340846,-0.2914,0.07796996844762832
4346661,1.4215,0.0598,16.6033,0.3113,2.1424,0.0041,4434.5947,40.5743,-0.2125,0.058,0.0792,0.022,0.0222,0.033911863893971925,0.1154,0.037139827959963845,-0.0932,0.05260803083175073
4346953,1.6796,0.0642,14.6533,0.2517,2.3289,0.0037,4525.7275,40.4528,0.1235,0.058,0.0048,0.022,-0.0106,0.027856173912905513,0.2394,0.031175767995590086,-0.25,0.04372819380728336
4346971,1.2873,0.0538,9.3383,0.1745,2.6089,0.0042,4695.8027,43.8668,-0.1008,0.058,0.046,0.022,-0.0474,0.03542578638923853,0.2297,0.039579670672662194,-0.2771,0.055558470096224236
4348666,1.4491,0.0555,5.1016,0.0881,3.1855,0.0039,4945.0464,47.1309,-0.034,0.058,0.0279,0.022,-0.1006,0.039361984876931704,0.2654,0.04391716882857038,-0.366,0.061685095576901286
4349133,1.4903,0.0625,14.3755,0.269,2.2926,0.0043,4570.397,45.3075,-0.1156,0.058,0.058,0.022,-0.0391,0.04027033837409166,0.1933,0.043374981559081864,-0.2324,0.06191504047734981
4357170,1.1548,0.0446,7.5677,0.1313,2.7444,0.0038,4592.8823,41.1033,0.1781,0.058,0.0447,0.022,0.0241,0.027553389413852193,0.15,0.031175767995590086,-0.12589999999999998,0.04351542648310757
4357390,1.5522,0.0602,18.8381,0.3276,2.0684,0.0038,4448.5986,40.258,-0.0686,0.058,0.0086,0.022,-0.0986,0.030884018903438722,0.2628,0.03415779797777697,-0.36139999999999994,0.0481675385041846
4357662,1.4671,0.0564,10.239,0.1772,2.5856,0.0039,4756.4272,44.8491,-0.1126,0.058,0.0372,0.022,-0.1028,0.03724249338355846,0.2216,0.041206232481127765,-0.3244,0.05809666104945965
4359587,1.5469,0.0605,23.9769,0.4207,1.85,0.0038,4296.755,38.5808,-0.1137,0.058,0.0416,0.022,-0.0234,0.02997566540627876,0.2309,0.032802329804055654,-0.25429999999999997,0.04648132482680867
4366351,1.2099,0.0467,8.7066,0.1511,2.6428,0.0042,4582.3184,49.5725,0.1326,0.058,0.0306,0.022,0.0483,0.04269261436651823,0.2277,0.04581482427178021,-0.1794,0.0655104194271775
4367337,1.3343,0.0511,6.9847,0.1206,2.8768,0.0041,4941.5034,50.1382,-0.3287,0.058,0.0781,0.022,-0.0489,0.05329007183338446,0.266,0.05638747602680642,-0.3149,0.08116487808158442
4371406,1.1569,0.0445,9.3556,0.162,2.5607,0.0039,4746.759,44.7559,-0.2381,0.058,0.0749,0.022,-0.0322,0.04057312287314499,0.144,0.044459356098058914,-0.1762,0.06296031659183841
4371562,1.3398,0.0528,25.3364,0.4466,1.7363,0.0044,4070.9539,47.9084,0.0359,0.058,0.0526,0.022,0.0711,0.04632602835515808,0.1339,0.04771247971499005,-0.0628,0.06957480016716375
